id,Category,SubCategory,Item Name, Description , Details ,Part Number,Vendor,Minimum Qty,increments,Maximum Qty,Weight,notes,mediawideid,project id,active,expiry,group options,Product Group,units
28,Kitchen,Containers,BAG T-SHIRT 11.5X6.5X21.5 1/6 BRL, 1/6 White T-Shirt Bag *1000 CS , The high-density polyethylene is 0.492 mil thick and resists rips and tears to keep items from breaking through the material and falling out of the bag.  ,433NHT001,1,1,1,50000,12, WSR ,,,Y,,,,1000 CT
29,Disposables,Drinkware,CUP PAPER 22 OZ COLD COKE , 21 oz Paper Cup Coke Print *1000 CS ," This 21 oz. Coca-Cola paper cup is designed specifically for serving ice cold beverages at your concession stand, sandwich shop, or take out restaurant.
 ",760RSP1CB,1,1,1,50000,9, Dart Solo ,,,Y,,,,1200 CT
30,Disposables,Drinkware,LID PLASTIC STRAW SLOT ," Natural Plastic Lid with Straw Slot 12,16,21,22,24 oz. *1000 CS "," Provide a secure and versatile covering for your customer's drink with this natural plastic lid with straw slot for 12, 16, 21, 22, and 24 oz. cups!  ",760668NAT,1,1,1,50000,9, WSR ,,,Y,,,,1200 CT
31,Disposables,Containers,CUP PLASTIC SOUFFLE 2 OZ , 2 oz. Black Polystyrene Souffle Cup/Portion Cup *2500 CS ," Help control portion size and costs thanks to these Choice 2 oz. black polystyrene souffle/portion cups! This black polystyrene cup is great for salad dressings, condiments, sauces, samples, and more. ",127P200B,1,1,1,50000,10, Choice ,,,Y,,,,200 CT
32,Disposables,Containers,LID PLASTIC SOUFFLE 1.5-2.5 OZ , Polystyrene Lid for 2 oz. Souffle/Portion Cup *2500 CS ," The perfect companion to your Choice 2 oz. polystyrene souffle / portion cups, these clear lids keep each cup's contents securely contained to reduce spills! ",127PL200,1,1,1,50000,7, Choice ,,,Y,,,,100 CT
33,Kitchen,Containers,BOX PIZZA 12X12 WHITE/KRAFT HOT BOX," NO LOGO, GENERIC 12"" Pizza Box *50 CT "," NO LOGO, GENERIC 12"" Pizza Box *50 CT ",,1,1,1,50000,1,,,,Y,,,,50 CT
34,Kitchen,Utencils,KNIFE PLASTIC XHVY WGT, Heavy Weight Beige Plastic Knife *1000 CS ," Made of durable polystyrene, these virtually shatterproof disposable knives are strong enough to last through your meal service, and can be easily disposed of, making cleanup a breeze ",130HKBG1M,1,1,1,50000,10, Visions ,,,Y,,,,1000 CT
35,Kitchen,Utencils,TEASPOON PLASTIC XHVY, Heavy Weight Beige Plastic Teaspoon *1000 CS ,"  Made of durable polystyrene, these virtually shatterproof disposable teaspoons are strong enough to last through your meal service, and can be easily disposed of, making cleanup a breeze.  ",130HSBG1M,1,1,1,50000,10, Visions ,,,Y,,,,100 CT
36,Facility,Safety,KIT FIRST AID 173 PIECES, 188 Pcs. First Aid Kit , 188 Pcs. First Aid Kit ,577807P50P,1,1,1,50000,1, Medi First ,,,Y,,,,EACH
37,Facility,Safety,GLOVE VINYL LARGE POWDER FREE, Large Powder Freee Disposable Vinyl Gloves *1000 CS ," These non-sterile, multi-purpose gloves offer a consistent fit, with the flexibility and resilience that your establishment depends on. ",394365L,1,1,1,50000,20, Noble Products ,,,Y,,,,100 CT
38,Kitchen,Accessories,TOOTHPICK ROUND ," Round Wooden Toothpicks *800 BX, 24 BX/CS "," Made of all white birch, these toothpicks are incredibly solid, smooth, and burr free; and they are less likely to splinter during use.these plain toothpicks are sure to meet the needs of every customer  ",485R820,1,1,1,50000,5, Royal ,,,Y,,,,800 CT
39,Kitchen,Utencils,FORK DINNER REGENCY , Stainless Steel Dinner Fork *12 PK ," Constructed of extra heavy weight 18/8 stainless steel, this dinner fork also boasts a bright mirror polish, attractive rounded rimmed handle and four tines design. T ",303RE105,1,1,1,50000,3, Regency Flatware ,,,Y,,,,12 CT
40,Kitchen,Utencils,KNIFE DINNER REGENCY , Stainless Steel Dinner Knife *12 PK ,"  Constructed of extra heavy weight 18/8 stainless steel, this dinner knife also boasts a bright mirror polish and attractive rounded rimmed design. ",303RE108,1,1,1,50000,3, Regency Flatware ,,,Y,,,,12 CT
41,Kitchen,Drinkware,GLASS ROCKS 12 OZ , Gibraltar 12 oz. Double Rocks Glasses , Gibraltar 12 oz. Double Rocks Glasses ,55115243,1,1,1,50000,18, Libbey ,,,Y,,,,36 CT
42,Kitchen,Drinkware,TUMBLER CLEAR 16 OZ PLASTIC, Colorware 16.4 oz. Clear Plastic Tumbler *24 CS , Colorware 16.4 oz. Clear Plastic Tumbler *24 CS ,2141600P2CL,1,1,1,50000,1, Cambro ,,,Y,,,,24 CT
43,Kitchen,Miscellaneous,RACK DISH PLATE/BOWLS 5X9 PEG GREY FULL, Soft Gray 5x9 Camrack Peg Rack with 1 Extender (*Min Order 5) , Soft Gray 5x9 Camrack Peg Rack with 1 Extender (*Min Order 5) ,214PR59500GY,1,1,1,50000,1, Cambro ,,,Y,,,,EACH
44,Kitchen,Containers,SHAKER 6 OZ CHEESE , 6 oz. Lexan Swirl Cheese/Red Pepper Shaker , 6 oz. Lexan Swirl Cheese/Red Pepper Shaker ,124LX306,1,1,1,50000,1, American Metalcraft ,,,Y,,,,EACH
45,Kitchen,Miscellaneous,"KNIFE COOKS 8"" SOFGRIP WHITE"," V-Lo 8"" Chef Knife "," V-Lo 8"" Chef Knife ",21029243,1,1,1,50000,1, Dexter Russell ,,,Y,,,,EACH
46,Kitchen,Miscellaneous,"KNIFE COOKS 10"" SOFGRIP WHITE"," V-Lo 10"" Chef Knife "," V-Lo 10"" Chef Knife ",21029253,1,1,1,50000,1, Dexter Russell ,,,Y,,,,EACH
47,Kitchen,Miscellaneous,"KNIFE PARING 3.25"" SOFGRIP WHITE"," V-Lo 3.5"" Paring Knife "," V-Lo 3.5"" Paring Knife ",21029473,1,1,1,50000,1, Dexter Russell ,,,Y,,,,EACH
48,Kitchen,Miscellaneous,SHARPENER KNIFE HAND HELD , Professional Carbide Hand Held Knife Sharpener ," Made with industrial-strength tungsten carbide steel blades, this sharpener allows you to sharpen blunt knife blades quickly and with precision. Plus, the ChefMaster knife sharpener's blades are reversible for double the lifetime of the unit ",80890015GDCM,1,1,1,50000,1, Chef Master ,,,Y,,,,EACH
49,Kitchen,Miscellaneous,"TONG 9-1/2"" UTILITY HEAVY DUTY "," 10"" Heavy Duty Stainless Utility Tong "," 10"" Heavy Duty Stainless Utility Tong ",92247309,1,1,1,50000,1, WSR ,,,Y,,,,EACH
50,Kitchen,Miscellaneous,"WHIP WIRE 12"" LIGHT GAUGE"," 12"" Jacob's Pride Nylon Handle Whip "," 12"" Jacob's Pride Nylon Handle Whip ",92247091,1,1,1,50000,1, Vollrath ,,,Y,,,,EACH
51,Kitchen,Miscellaneous,"WHIP WIRE 48"" "," Chef Series 48"" French Stainless Whip "," Chef Series 48"" French Stainless Whip ",27140682,1,1,1,50000,1, Carlisle ,,,Y,,,,EACH
52,Kitchen,Miscellaneous,THERMOMETER , TruTemp Refrigerator/Freezer Dial Thermometer ," This Taylor Precision 3507 dial thermometer hangs or stands and features easy-to-read, bold numbers and a dual scale.  This Taylor thermometer is NSF Listed and it has a temperature range of -20 degrees Fahrenheit to 80 degrees Fahrenheit.
 ",913RFT2K,1,1,1,50000,1, Taylor ,,,Y,,,,EACH
